Number,Hora,Total,Es_Bessons,Lubi,Son_Rues,Valldurgent,Son_Orlandis,Murterar_Power,GESA,Santa_Ponsa,Cas_Tresoare,Cala_Bosc,Ciutadella,Mahon,Dragonera,Es_Merceds,Elvissa
97,16:00:00,616,40.7684498,14.32808145,43.92127863,142.6255007,4.779417288,29.14298679,13.13407466,10.95557165,168.4142844,1.609439098,26.73334924,8.685050994,7.238808601,7.725779188,95.93792749
98,16:10:00,616,40.7684498,14.32808145,43.92127863,142.6255007,4.779417288,29.14298679,13.13407466,10.95557165,168.4142844,1.609439098,26.73334924,8.685050994,7.238808601,7.725779188,95.93792749
99,16:20:00,614,40.63608471,14.2815617,43.77867707,142.1624309,4.763899699,29.0483667,13.09143156,10.92000161,167.8674848,1.604213647,26.64655266,8.656852777,7.215305976,7.700695489,95.62644071
100,16:30:00,612,40.50371961,14.23504196,43.63607552,141.6993611,4.74838211,28.95374661,13.04878846,10.88443157,167.3206852,1.598988195,26.55975607,8.628654559,7.191803351,7.675611791,95.31495394
101,16:40:00,616,40.7684498,14.32808145,43.92127863,142.6255007,4.779417288,29.14298679,13.13407466,10.95557165,168.4142844,1.609439098,26.73334924,8.685050994,7.238808601,7.725779188,95.93792749
102,16:50:00,613,40.56990216,14.25830183,43.7073763,141.930896,4.756140905,29.00105666,13.07011001,10.90221659,167.594085,1.601600921,26.60315436,8.642753668,7.203554663,7.68815364,95.47069733
103,17:00:00,612,40.50371961,14.23504196,43.63607552,141.6993611,4.74838211,28.95374661,13.04878846,10.88443157,167.3206852,1.598988195,26.55975607,8.628654559,7.191803351,7.675611791,95.31495394
104,17:10:00,615,40.70226726,14.30482157,43.84997785,142.3939658,4.771658493,29.09567674,13.11275311,10.93778663,168.1408846,1.606826373,26.68995095,8.670951886,7.227057289,7.713237339,95.7821841
105,17:20:00,617,40.83463235,14.35134132,43.99257941,142.8570356,4.787176082,29.19029683,13.15539621,10.97335666,168.6876842,1.612051824,26.77674754,8.699150103,7.250559914,7.738321037,96.09367088
106,17:30:00,616,40.7684498,14.32808145,43.92127863,142.6255007,4.779417288,29.14298679,13.13407466,10.95557165,168.4142844,1.609439098,26.73334924,8.685050994,7.238808601,7.725779188,95.93792749
107,17:40:00,616,40.7684498,14.32808145,43.92127863,142.6255007,4.779417288,29.14298679,13.13407466,10.95557165,168.4142844,1.609439098,26.73334924,8.685050994,7.238808601,7.725779188,95.93792749
108,17:50:00,615,40.70226726,14.30482157,43.84997785,142.3939658,4.771658493,29.09567674,13.11275311,10.93778663,168.1408846,1.606826373,26.68995095,8.670951886,7.227057289,7.713237339,95.7821841
109,18:00:00,618,40.9008149,14.37460119,44.06388018,143.0885705,4.794934876,29.23760687,13.17671776,10.99114168,168.9610841,1.61466455,26.82014583,8.713249212,7.262311227,7.750862887,96.24941427
110,18:10:00,616,40.7684498,14.32808145,43.92127863,142.6255007,4.779417288,29.14298679,13.13407466,10.95557165,168.4142844,1.609439098,26.73334924,8.685050994,7.238808601,7.725779188,95.93792749
111,18:20:00,617,40.83463235,14.35134132,43.99257941,142.8570356,4.787176082,29.19029683,13.15539621,10.97335666,168.6876842,1.612051824,26.77674754,8.699150103,7.250559914,7.738321037,96.09367088
